Work experience,Education,Company size,Amount,Designation,Currency,Status,Year
1_to_3,higher_diploma,20_to_50,70000,associate_software_engineer,LKR,approved,2022
10_to_14,masters,more_than_500,550000,senior_functional_consultant,LKR,approved,2022
4_to_6,bachelors_degree,more_than_500,613440,senior_qa_engineer,LKR,approved,2022
4_to_6,masters,10_to_20,400000,associate_technical_lead,LKR,approved,2022
4_to_6,bachelors_degree,100_to_500,185000,senior_business_analyst,LKR,approved,2021
4_to_6,bachelors_degree,more_than_500,300000,senior_business_analyst,LKR,approved,2022
1_to_3,bachelors_degree,100_to_500,320000,devops_engineer,LKR,approved,2022
7_to_9,bachelors_degree,more_than_500,1006720,technical_lead,LKR,approved,2022
7_to_9,bachelors_degree,100_to_500,100000,network_engineer,LKR,approved,2022
1_to_3,diploma,50_to_100,82000,associate_system_engineer,LKR,approved,2022
4_to_6,masters,more_than_500,424000,senior_software_engineer,LKR,approved,2022
1_to_3,bachelors_degree,100_to_500,150000,associate_system_engineer,LKR,approved,2021
1_to_3,bachelors_degree,100_to_500,200000,system_engineer,LKR,approved,2022
0_to_1,bachelors_degree,more_than_500,205000,software_engineer,LKR,approved,2019
4_to_6,bachelors_degree,more_than_500,960000,technical_lead,LKR,approved,2022
1_to_3,bachelors_degree,more_than_500,60000,software_engineer,LKR,approved,2022
1_to_3,bachelors_degree,50_to_100,218900,software_engineer,LKR,approved,2022
7_to_9,bachelors_degree,100_to_500,200000,senior_network_engineer,LKR,approved,2022
4_to_6,bachelors_degree,more_than_500,150000,associate_project_manager,LKR,approved,2022
1_to_3,bachelors_degree,more_than_500,405000,associate_technical_lead,LKR,approved,2022
10_to_14,higher_diploma,below_10,150000,ui_ux_engineer,LKR,approved,2022
15+,bachelors_degree,more_than_500,580000,associate_architecture,LKR,approved,2022
4_to_6,bachelors_degree,more_than_500,861440,associate_technical_lead,LKR,approved,2022
1_to_3,bachelors_degree,100_to_500,226000,software_engineer,LKR,approved,2022
10_to_14,bachelors_degree,more_than_500,300000,senior_devops_engineer,LKR,approved,2022
7_to_9,bachelors_degree,more_than_500,385000,senior_devops_engineer,LKR,approved,2022
4_to_6,bachelors_degree,100_to_500,540000,senior_devops_engineer,LKR,approved,2022
4_to_6,bachelors_degree,50_to_100,375000,senior_devops_engineer,LKR,approved,2022
7_to_9,bachelors_degree,50_to_100,430000,senior_devops_engineer,LKR,approved,2022
7_to_9,bachelors_degree,more_than_500,178000,senior_business_analyst,LKR,approved,2022
0_to_1,bachelors_degree,more_than_500,260000,devops_engineer,LKR,approved,2022
4_to_6,bachelors_degree,50_to_100,370000,senior_devops_engineer,LKR,approved,2022
10_to_14,bachelors_degree,50_to_100,616900,technical_lead,LKR,approved,2022
10_to_14,bachelors_degree,10_to_20,1600000,principle_software_engineer,LKR,approved,2022
4_to_6,bachelors_degree,more_than_500,544000,associate_qa_lead,LKR,approved,2022
10_to_14,bachelors_degree,50_to_100,942300,architecture,LKR,approved,2022
4_to_6,higher_diploma,100_to_500,180200,senior_software_engineer,LKR,approved,2022
1_to_3,bachelors_degree,100_to_500,130000,associate_qa_engineer,LKR,approved,2022
7_to_9,bachelors_degree,100_to_500,672000,lead_devops_engineer,LKR,approved,2022
1_to_3,bachelors_degree,more_than_500,227500,senior_devops_engineer,LKR,approved,2022
0_to_1,bachelors_degree,100_to_500,395380,devops_engineer,LKR,approved,2021
0_to_1,bachelors_degree,more_than_500,75000,business_analyst,LKR,approved,2022
10_to_14,bachelors_degree,100_to_500,1376000,technical_lead,LKR,approved,2022
0_to_1,bachelors_degree,more_than_500,210000,software_engineer,LKR,approved,2022
0_to_1,bachelors_degree,more_than_500,150000,associate_software_engineer,LKR,approved,2022
7_to_9,bachelors_degree,100_to_500,450000,senior_technical_consultant,LKR,approved,2022
4_to_6,bachelors_degree,50_to_100,663100,senior_software_engineer,LKR,approved,2022
0_to_1,bachelors_degree,more_than_500,509440,software_engineer,LKR,approved,2022
1_to_3,bachelors_degree,more_than_500,150000,system_engineer,LKR,approved,2022
7_to_9,bachelors_degree,50_to_100,676600,lead_system_engineer,LKR,approved,2022
1_to_3,bachelors_degree,50_to_100,285000,devops_engineer,LKR,approved,2022
1_to_3,bachelors_degree,20_to_50,277000,devops_engineer,LKR,approved,2022
4_to_6,bachelors_degree,100_to_500,512000,senior_reliability_engineer,LKR,approved,2022
1_to_3,masters,more_than_500,140000,senior_business_analyst,LKR,approved,2022
